,Selling_Price,Present_Price,Kms_Driven,Owner,year_diff,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
0,3.35,1.7209792871670078,10.203592144986466,0,6,0,1,0,1
1,4.75,2.255493485460195,10.668955394675699,0,7,1,0,0,1
2,7.25,2.2874714551839976,8.83927669058535,0,3,0,1,0,1
3,2.85,1.423108334242607,8.556413904569519,0,9,0,1,0,1
4,4.6,1.927164106234258,10.656082191739493,0,6,1,0,0,1
5,9.25,2.285438934159075,7.635786861395585,0,2,1,0,0,1
6,6.75,2.0943301541735866,9.841399360222706,0,5,0,1,0,1
7,6.5,2.152924318439639,10.417179065715164,0,5,1,0,0,1
8,8.75,2.1849270495258133,9.917045230468194,0,4,1,0,0,1
9,7.45,2.188295946591918,10.654125036299098,0,5,1,0,0,1
10,2.85,1.2809338454620642,7.666221925662725,0,3,0,1,0,1
11,6.85,2.3398808777377424,10.839580911706463,0,5,1,0,0,1
12,7.5,2.2965670206684825,9.615805480084347,0,5,0,1,0,0
13,6.1,2.0425181875752383,10.165851817003619,0,5,0,1,0,1
14,2.25,1.9754689512968577,11.257090835957568,0,11,0,1,0,1
15,7.75,2.378619779270043,10.668955394675699,0,4,1,0,0,1
16,7.25,2.378619779270043,10.637728690631034,0,5,1,0,0,1
17,7.75,2.378619779270043,10.668955394675699,0,4,1,0,0,1
18,3.25,1.6272778305624314,10.477287975463508,0,5,0,0,0,1
19,2.65,2.0769384114617173,10.632050138317028,0,10,0,1,0,1
20,2.85,1.3737155789130306,10.126631103850338,0,4,0,1,0,1
21,4.9,1.742219023667919,7.783224016336037,0,3,0,1,0,1
22,4.4,2.080690761080268,10.819778284410283,0,9,0,1,0,0
23,2.5,1.2412685890696329,10.720620712877064,0,6,0,1,0,1
24,2.9,1.4838746894587547,10.948681483450565,0,7,0,1,0,1
25,3.0,1.6074359097634274,9.903487552536127,0,9,0,1,0,1
26,4.15,1.7698546338400052,10.917594412610574,0,7,0,1,0,1
27,6.0,1.8702625307159986,9.692766521220475,0,3,0,1,1,1
28,1.95,1.3737155789130306,10.704187843260796,0,10,0,1,0,1
29,7.45,2.3398808777377424,10.714417768752456,0,5,1,0,0,1
30,3.1,1.7884205679625405,10.848151918598122,0,8,1,0,0,1
31,2.35,1.5871923034867805,10.900436187427738,0,9,0,1,0,1
32,4.95,2.0135687975291283,10.571316925111784,0,6,1,0,0,1
33,6.0,2.2975725511705014,10.714417768752456,0,6,1,0,0,1
34,5.5,2.086913556518537,10.714417768752456,0,6,1,0,0,1
35,2.95,2.046401687601636,10.819738283610262,0,9,0,0,0,1
36,4.65,1.9740810260220096,10.794809133586739,0,5,0,1,0,1
37,0.35,0.8241754429663494,11.751942365440728,0,17,0,1,1,1
38,3.0,1.324418957401803,9.218209330354878,0,4,0,1,0,1
39,2.25,2.0769384114617173,11.03488966402723,0,17,0,1,0,1
40,5.85,2.063058062429312,10.107407508882579,0,4,0,1,0,0
41,2.55,1.3812818192963463,10.751627915061572,0,6,0,1,0,1
42,1.95,1.9671123567059163,10.968198289528557,0,12,0,1,0,1
43,5.5,2.086913556518537,10.731602593506558,0,6,1,0,0,1
44,1.25,0.9895411936137477,10.819778284410283,0,8,0,1,0,1
45,7.5,2.488234439880675,9.615805480084347,0,6,0,1,0,0
46,2.65,1.5871923034867805,11.074916503786035,0,7,0,1,0,1
47,1.05,1.423108334242607,11.082142548877775,0,14,0,1,0,1
48,5.8,2.0425181875752383,10.160839275180075,0,5,0,1,0,1
49,7.75,2.2289385528257473,10.51867319162636,0,3,0,1,0,0
50,14.9,3.421326752957321,11.558921252312388,0,8,1,0,0,0
51,23.0,3.421326752957321,10.596634733096073,0,5,1,0,0,0
52,18.0,2.9841656371825254,9.615805480084347,0,3,1,0,0,0
53,16.0,3.421326752957321,11.813030057420567,0,7,1,0,1,0
54,2.75,2.3233676321765744,11.407564949312402,0,15,0,1,1,1
55,3.6,2.7107133185216936,11.156250521031495,0,11,0,1,0,0
56,4.5,1.9837562915454279,10.609896407079258,0,5,0,1,0,1
57,4.75,2.919930560137709,10.819778284410283,0,10,0,1,0,1
58,4.1,1.916922612182061,10.583676131931682,1,6,0,1,0,1
59,19.99,3.5824072096034194,10.621327345686446,0,6,1,0,0,0
60,6.95,2.9236990706541595,10.596659732783579,0,7,0,1,0,1
61,4.5,2.0412203288596382,10.611227735398973,0,5,0,1,0,1
62,18.75,3.5824072096034194,11.26446410567173,0,6,1,0,0,0
63,23.5,3.5824072096034194,10.757902880692196,0,5,1,0,0,0
64,33.0,3.5898875049069856,8.699514748210191,0,3,1,0,0,0
65,4.75,1.9387416595767009,10.714417768752456,0,6,1,0,0,1
66,19.75,3.1419947805322432,9.305650551780507,0,3,0,1,0,0
67,9.25,3.017982882488811,10.985292722887856,0,10,1,0,0,1
68,4.35,2.620311286794203,11.385092093460344,0,9,0,1,0,1
69,14.25,3.0402275134405423,9.392661928770137,0,4,0,1,0,1
70,3.95,1.9110228900548727,11.170435156023453,0,6,1,0,0,1
71,4.5,2.5241273629412815,10.714417768752456,0,9,1,0,0,1
72,7.45,2.9236990706541595,10.933124826700707,0,7,0,1,0,1
73,2.65,1.742219023667919,10.668955394675699,0,9,0,1,0,1
74,4.9,2.189416394888408,11.326595886778735,0,6,1,0,0,1
75,3.95,1.916922612182061,10.491274217438248,0,5,0,1,0,1
76,5.5,2.6864860231863696,11.184421397998193,0,7,0,1,0,1
77,1.5,2.513656063073986,11.814170148010977,0,16,0,1,0,0
78,5.25,3.1280754605417043,11.289781913656018,0,10,0,1,0,0
79,14.5,3.421326752957321,11.396391648714276,0,8,1,0,0,0
80,14.73,2.7006898466959175,10.043249494911286,0,4,1,0,0,1
81,4.75,2.060513531794317,10.596634733096073,0,5,1,0,0,1
82,23.0,3.234355395716587,9.615805480084347,0,3,1,0,0,0
83,12.5,2.599722324216582,10.545341438708522,0,5,1,0,0,1
84,3.49,2.599722324216582,12.191852009890201,0,15,1,0,0,1
85,2.5,3.166740070447672,11.863582336583399,3,14,0,1,1,0
86,35.0,4.528289141652134,11.26446410567173,0,10,1,0,0,1
87,5.9,2.620311286794203,10.933106969717286,0,8,0,1,0,1
88,3.45,1.80005827204275,10.757902880692196,0,7,0,1,0,1
89,4.75,1.9110228900548727,10.596634733096073,0,6,0,1,0,1
90,3.8,2.9236990706541595,11.03488966402723,0,11,0,1,0,1
91,11.25,2.7781979610042917,10.972362022940281,0,6,1,0,0,1
92,3.51,2.617395832834079,11.225243392518447,0,15,0,1,0,1
93,23.0,3.421326752957321,10.596634733096073,0,5,1,0,0,0
94,4.0,3.125882958019036,11.396391648714276,0,12,0,1,0,0
95,5.85,2.9236990706541595,11.184421397998193,0,8,0,1,0,1
96,20.75,3.234355395716587,10.275051108968611,0,4,1,0,0,0
97,17.0,2.925309809257445,9.071078304642676,0,3,0,1,0,1
98,7.05,2.9236990706541595,10.714417768752456,0,7,0,1,0,1
99,9.65,3.017982882488811,10.820258169247134,0,10,1,0,0,1
100,1.75,0.6418538861723947,8.006367567650246,0,4,0,1,1,1
101,1.7,0.598836501088704,7.24422751560335,0,3,0,1,1,1
102,1.65,0.5766133643039938,8.294049640102028,0,3,0,1,1,1
103,1.45,0.47000362924573563,7.090076835776092,0,3,0,1,1,1
104,1.35,0.3852624007906449,8.318742252692399,0,3,0,1,1,1
105,1.35,0.8628899551470398,9.98506753952855,0,5,0,1,1,1
